user_id,total_orders,avg_order_value,max_order_value,first_order,last_order,days_since_last_order,user_tenure_days
1,5,781.0,1255,2020-01-28,2022-10-19,804,1799
2,2,312.5,355,2022-08-05,2023-02-20,680,879
4,7,1117.857142857143,1640,2019-06-12,2024-10-07,85,2029
5,6,780.8333333333334,1220,2019-06-20,2024-10-15,77,2021
6,2,1200.0,1420,2022-07-11,2023-08-27,492,904
7,3,703.3333333333334,875,2022-06-03,2024-02-29,306,942
8,2,707.5,1100,2020-01-01,2021-01-25,1436,1826
9,6,1077.5,1630,2020-07-17,2024-06-10,204,1628
10,10,630.5,1095,2020-01-06,2024-05-21,224,1821
11,4,375.0,590,2019-06-11,2024-05-12,233,2030
12,4,711.25,860,2020-06-21,2024-09-09,113,1654
13,2,525.0,590,2022-03-14,2023-12-16,381,1023
14,2,602.5,645,2020-03-01,2023-11-21,406,1766
15,3,270.0,285,2022-06-14,2024-08-26,127,931
16,4,685.0,835,2020-07-27,2024-04-15,260,1618
17,4,590.0,770,2019-12-20,2024-12-12,19,1838
18,2,632.5,780,2020-01-17,2020-05-10,1696,1810
19,1,1310.0,1310,2024-12-06,2024-12-06,25,25
20,4,1256.25,1805,2019-01-29,2021-01-21,1440,2163
21,4,961.25,1200,2021-07-06,2024-12-19,12,1274
22,3,666.6666666666666,1025,2020-11-01,2023-07-18,532,1521
23,3,1578.3333333333333,1740,2019-03-30,2023-08-31,488,2103
24,2,655.0,1050,2019-08-25,2022-03-24,1013,1955
25,2,1120.0,1140,2019-05-25,2021-02-12,1418,2047
26,2,627.5,695,2021-06-11,2021-07-26,1254,1299
27,3,885.0,1180,2021-09-08,2024-09-23,99,1210
28,5,535.0,940,2020-05-25,2024-12-11,20,1681
29,2,217.5,275,2019-11-22,2020-08-31,1583,1866
30,4,373.75,855,2019-08-30,2024-05-28,217,1950
31,4,377.5,730,2019-07-19,2024-08-21,132,1992
32,5,519.0,810,2019-09-01,2024-11-19,42,1948
33,7,703.5714285714286,1280,2019-03-27,2024-11-19,42,2106
34,4,742.5,1435,2020-06-24,2023-11-09,418,1651
35,4,910.0,1510,2020-06-13,2024-12-18,13,1662
36,4,610.0,1155,2020-12-09,2023-11-02,425,1483
37,3,518.3333333333334,955,2020-10-31,2022-01-19,1077,1522
38,2,587.5,890,2020-08-03,2021-05-17,1324,1611
39,4,550.0,690,2020-08-06,2024-06-01,213,1608
40,2,925.0,970,2022-03-16,2022-07-29,886,1021
41,5,589.0,1030,2020-09-10,2023-01-06,725,1573
42,4,655.0,890,2019-01-15,2024-11-21,40,2177
43,5,752.0,1335,2019-07-28,2024-12-15,16,1983
44,2,977.5,1095,2021-09-26,2023-07-23,527,1192
45,5,616.0,875,2019-02-01,2023-06-25,555,2160
46,1,185.0,185,2024-07-24,2024-07-24,160,160
47,2,2007.5,2240,2022-09-17,2023-12-30,367,836
48,3,388.3333333333333,530,2020-05-25,2023-06-25,555,1681
49,4,306.25,360,2019-01-26,2024-09-02,120,2166
50,4,362.5,665,2022-11-17,2024-09-19,103,775
51,1,430.0,430,2021-04-13,2021-04-13,1358,1358
52,2,600.0,675,2019-02-23,2020-02-25,1771,2138
53,3,1208.3333333333333,1875,2019-03-04,2020-11-20,1502,2129
54,2,662.5,955,2019-02-23,2021-08-20,1229,2138
55,5,652.0,1195,2019-09-20,2024-05-04,241,1929
56,1,1100.0,1100,2022-02-11,2022-02-11,1054,1054
57,3,1091.6666666666667,1495,2019-03-11,2024-03-19,287,2122
58,5,642.0,1125,2019-01-29,2023-02-13,687,2163
59,2,655.0,895,2022-12-27,2023-05-19,592,735
60,1,1090.0,1090,2021-04-18,2021-04-18,1353,1353
61,4,603.75,955,2023-06-27,2024-12-13,18,553
62,3,1008.3333333333334,1175,2020-03-04,2021-02-27,1403,1763
63,4,1372.5,1820,2019-05-26,2022-09-10,843,2046
64,1,1740.0,1740,2024-09-10,2024-09-10,112,112
66,4,662.5,1180,2019-02-12,2024-09-05,117,2149
67,8,721.25,1485,2019-09-04,2024-03-04,302,1945
68,4,1176.25,1765,2019-01-11,2024-07-31,153,2181
69,3,600.0,1165,2019-03-30,2022-06-14,931,2103
70,4,655.0,1380,2020-10-04,2023-09-21,467,1549
71,2,562.5,810,2021-10-20,2024-07-05,179,1168
72,2,1102.5,1115,2024-08-27,2024-10-28,64,126
73,4,467.5,535,2019-01-03,2024-04-16,259,2189
74,5,512.0,720,2019-03-04,2024-04-28,247,2129
75,5,1259.0,2145,2019-05-03,2024-12-21,10,2069
76,2,657.5,735,2019-01-14,2023-01-01,730,2178
77,3,1268.3333333333333,1730,2019-02-01,2022-11-11,781,2160
78,5,728.0,1300,2020-06-11,2024-05-04,241,1664
79,4,421.25,620,2021-07-19,2024-03-26,280,1261
80,3,588.3333333333334,995,2022-01-05,2024-11-30,31,1091
81,2,935.0,1245,2024-03-12,2024-12-14,17,294
83,6,1659.1666666666667,1890,2019-01-05,2024-05-11,234,2187
84,1,1075.0,1075,2019-04-05,2019-04-05,2097,2097
85,5,662.0,1190,2019-01-09,2024-01-21,345,2183
86,5,313.0,735,2019-04-02,2024-07-06,178,2100
87,4,810.0,1210,2020-02-06,2023-05-23,588,1790
88,4,358.75,515,2019-12-06,2024-10-13,79,1852
89,3,1100.0,1535,2019-10-05,2022-11-02,790,1914
90,5,393.0,855,2020-06-16,2024-09-22,100,1659
91,4,753.75,1610,2020-01-16,2024-11-20,41,1811
92,3,810.0,1135,2021-05-07,2023-06-20,560,1334
93,3,485.0,575,2021-01-17,2023-07-20,530,1444
94,2,405.0,465,2023-12-27,2024-03-18,288,370
95,7,721.4285714285714,1065,2019-02-28,2024-10-25,67,2133
96,3,580.0,790,2019-12-08,2024-12-11,20,1850
97,7,552.1428571428571,1115,2019-11-29,2024-11-20,41,1859
98,6,278.3333333333333,565,2020-11-13,2023-04-25,616,1509
99,3,591.6666666666666,815,2020-02-27,2024-03-11,295,1769
100,2,345.0,555,2019-05-30,2020-09-01,1582,2042
101,1,1180.0,1180,2020-06-03,2020-06-03,1672,1672
102,1,1790.0,1790,2023-06-28,2023-06-28,552,552
103,3,575.0,1210,2019-06-03,2023-02-02,698,2038
104,10,455.5,865,2019-01-06,2024-03-27,279,2186
105,2,515.0,845,2020-06-04,2023-11-26,401,1671
106,2,457.5,550,2019-04-02,2022-12-31,731,2100
107,10,679.5,1610,2019-01-26,2024-09-30,92,2166
108,5,568.0,965,2019-05-02,2024-03-11,295,2070
109,3,363.3333333333333,590,2019-11-10,2023-02-18,682,1878
110,2,707.5,1230,2022-04-13,2023-04-25,616,993
111,2,737.5,805,2019-05-31,2021-12-23,1104,2041
112,3,863.3333333333334,1460,2020-06-03,2024-01-22,344,1672
113,4,688.75,1425,2021-06-12,2024-12-04,27,1298
114,6,835.8333333333334,1535,2019-04-14,2024-10-22,70,2088
115,1,285.0,285,2020-08-20,2020-08-20,1594,1594
116,1,1145.0,1145,2020-09-12,2020-09-12,1571,1571
117,4,825.0,1365,2020-10-02,2022-09-13,840,1551
118,7,595.0,1090,2019-07-17,2024-10-27,65,1994
119,7,927.1428571428571,1675,2019-03-10,2024-10-25,67,2123
120,4,717.5,1660,2020-04-21,2024-07-27,157,1715
121,7,1002.1428571428571,1805,2020-06-05,2024-08-21,132,1670
122,3,1005.0,1210,2021-05-18,2024-08-21,132,1323
123,3,535.0,645,2021-04-15,2024-12-16,15,1356
124,4,618.75,1345,2019-11-03,2022-02-20,1045,1885
125,2,1490.0,1805,2023-05-22,2024-09-30,92,589
126,2,652.5,855,2020-12-02,2024-01-13,353,1490
127,5,814.0,945,2022-04-28,2024-07-29,155,978
129,5,449.0,635,2020-08-09,2023-02-11,689,1605
130,6,855.0,1955,2019-09-24,2024-07-25,159,1925
131,6,537.5,890,2019-03-27,2023-09-04,484,2106
132,6,863.3333333333334,1675,2019-08-28,2024-08-06,147,1952
133,4,1051.25,1595,2020-03-19,2024-10-03,89,1748
134,7,385.0,930,2020-09-20,2024-06-06,208,1563
135,2,510.0,680,2019-11-13,2023-07-11,539,1875
136,7,1043.5714285714287,1595,2021-06-20,2024-01-26,340,1290
137,1,740.0,740,2021-09-28,2021-09-28,1190,1190
138,5,534.0,895,2019-09-21,2023-05-11,600,1928
139,4,263.75,510,2019-08-27,2024-12-09,22,1953
